node,5508293764,POINT (-5.1847277 50.2739983),,,,,,,,,,,Grey Gables,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5508676538,POINT (-5.1883664 50.2783752),,,,GB,TR4 8BE,Truro - Newquay Railway,,Mount Hawke,,,Trewartha Farm,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5508676539,POINT (-5.1895362 50.279557),,,,GB,TR4 8BE,The Halt,,Mount Hawke,,,Aldona,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5508676540,POINT (-5.1901106 50.2793182),,,,GB,TR4 8BE,The Halt,,Mount Hawke,,,Brynmawr,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5508676541,POINT (-5.1919646 50.2794734),,,,,,,,,,,The Green Barn,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511698372,POINT (-5.2432368 50.2429276),,,,,TR15 3TQ,Old Portreath Road,,Redruth,,,Bosmarric,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511698373,POINT (-5.2432984 50.2432508),,,,,TR15 3TQ,Old Portreath Road,,Redruth,,,Karenza,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511698374,POINT (-5.242127 50.2422738),,,,,TR15 3TQ,Old Portreath Road,,Redruth,,,East Tolgus House,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511698375,POINT (-5.2433038 50.2449856),,,,,TR15 3TQ,Old Portreath Road,,Redruth,,,Tolgus Vean House,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5511698376,POINT (-5.2425799 50.244911),,,,,TR15 3TQ,Old Portreath Road,,Redruth,,,Tolgus Vean,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5511698377,POINT (-5.2430199 50.2445133),,,,,TR15 3TQ,Old Portreath Road,,Redruth,,,Jasmine Cottage,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5511802832,POINT (-5.2309617 50.2482867),,,,,TR16 4BE,Bassett Road,,Redruth,,,Basset Road Farm,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802833,POINT (-5.230636 50.2481689),,,,,TR16 4BE,Bassett Road,,Redruth,,,October Cottage,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802834,POINT (-5.228909 50.2477226),,,,,TR16 4AN,Bassett Road,,Redruth,,,Stoney Stile,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5511802835,POINT (-5.2286533 50.2477128),,,,,TR16 4AN,Bassett Road,,Redruth,,,Greenhills,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802836,POINT (-5.2268262 50.2491747),,,,,TR16 4AS,Treleigh Downs,,Redruth,,,Trudgeons Cottage Farm,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802837,POINT (-5.2249499 50.2496574),,,,,TR16 4AS,Treleigh Downs,,Redruth,,,Treleigh Cottages,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802849,POINT (-5.2260109 50.2512103),,,,,TR16 4AS,Treleigh Downs,,Redruth,,,Wood End,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802850,POINT (-5.2240427 50.2503667),,,,,TR16 4AT,,,"Scorrier, Redruth",,,Ostlers Retreat,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
node,5511802851,POINT (-5.2232067 50.2497993),,,,,TR16 4AT,,,"Scorrier, Redruth",,,Church Farm,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802852,POINT (-5.2228892 50.2501994),,,,,TR16 4AT,,,"Scorrier, Redruth",,,St Stephen's House,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,5511802853,POINT (-5.2204738 50.2499316),,,,,TR16 4AU,Radnor Road,,"Scorrier, Redruth",,,Westerley,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,
